# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254790,3,7,5,HLT_PFJet320_v2/5,ONE,L1_SingleJet200/1
254833,1,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254833,126,6,6,HLT_PFJet320_v2/6,ONE,L1_SingleJet200/1
254833,317,7,5,HLT_PFJet320_v2/5,ONE,L1_SingleJet200/1
254879,1,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254879,33,7,5,HLT_PFJet320_v2/5,ONE,L1_SingleJet200/1
254905,1,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254905,39,6,6,HLT_PFJet320_v2/6,ONE,L1_SingleJet200/1
254906,1,6,6,HLT_PFJet320_v2/6,ONE,L1_SingleJet200/1
254913,1,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254914,6,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
256674,1,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
257461,1,1,60,HLT_PFJet320_v3/60,OR,L1_SingleJet128/1000 L1_SingleJet200/1
257461,35,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
257461,38,4,15,HLT_PFJet320_v3/15,OR,L1_SingleJet200/1 L1_SingleJet128/1
257461,69,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
257804,1,6,3,HLT_PFJet320_v3/3,OR,L1_SingleJet128/1 L1_SingleJet200/1
257804,6,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
257816,1,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
258159,1,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
258312,1,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
258313,1,5,4,HLT_PFJet320_v3/4,OR,L1_SingleJet200/1 L1_SingleJet128/1
258319,1,5,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
259464,1,10,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
259453,1,10,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
259456,1,10,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
259457,1,10,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
259458,1,10,1,HLT_PFJet320_v3/1,OR,L1_SingleJet200/1 L1_SingleJet128/1
260627,1,1,60,HLT_PFJet320_v4/60,OR,L1_SingleJet128/1000 L1_SingleJet200/1
260627,4,4,15,HLT_PFJet320_v4/15,OR,L1_SingleJet200/1 L1_SingleJet128/1
260627,108,3,21,HLT_PFJet320_v4/21,OR,L1_SingleJet128/1 L1_SingleJet200/1
260627,128,4,15,HLT_PFJet320_v4/15,OR,L1_SingleJet200/1 L1_SingleJet128/1
260627,213,3,21,HLT_PFJet320_v4/21,OR,L1_SingleJet128/1 L1_SingleJet200/1
260627,575,4,15,HLT_PFJet320_v4/15,OR,L1_SingleJet200/1 L1_SingleJet128/1
253946,1,11,1,HLT_PFJet320_v2/1,ONE,L1_SingleJet200/1
253952,1,11,1,HLT_PFJet320_v2/1,ONE,L1_SingleJet200/1
254229,6,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
254380,8,1,60,HLT_PFJet320_v2/60,ONE,L1_SingleJet200/1
