# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254790,3,7,15000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/5000
254833,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254833,126,6,20000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/20000
254833,317,7,15000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/5000
254879,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254879,33,7,15000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/5000
254905,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254905,39,6,20000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/20000
254906,1,6,20000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/20000
254913,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254914,6,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
256674,1,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
257461,1,1,1048556,HLT_PFJet60_v3/4,ONE,L1_SingleJet36/262139
257461,35,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
257461,38,4,5000,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/5000
257461,69,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
257804,1,6,1500,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/1500
257804,6,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
257816,1,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
258159,1,5,36000,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/3000
258312,1,5,36000,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/3000
258313,1,5,36000,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/3000
258319,1,5,3000,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/3000
259464,1,10,3600,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/300
259453,1,10,300,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/300
259456,1,10,300,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/300
259457,1,10,3600,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/300
259458,1,10,3600,HLT_PFJet60_v3/12,ONE,L1_SingleJet36/300
260627,1,1,262139,HLT_PFJet60_v4/1,ONE,L1_SingleJet36/262139
260627,4,4,60000,HLT_PFJet60_v4/12,ONE,L1_SingleJet36/5000
260627,108,3,84000,HLT_PFJet60_v4/12,ONE,L1_SingleJet36/7000
260627,128,4,60000,HLT_PFJet60_v4/12,ONE,L1_SingleJet36/5000
260627,213,3,84000,HLT_PFJet60_v4/12,ONE,L1_SingleJet36/7000
260627,575,4,60000,HLT_PFJet60_v4/12,ONE,L1_SingleJet36/5000
253946,1,11,2000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/2000
253952,1,11,2000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/2000
254229,6,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254380,8,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254380,9,9,6000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/2000
254415,1,1,80000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/80000
254416,1,12,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
254416,40,8,10000,HLT_PFJet60_v2/2,ONE,L1_SingleJet36/5000
254608,1,7,15000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/5000
254608,515,8,10000,HLT_PFJet60_v2/2,ONE,L1_SingleJet36/5000
254608,656,9,6000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/2000
257612,1,5,3000,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/3000
257613,1,5,6000,HLT_PFJet60_v3/2,ONE,L1_SingleJet36/3000
260478,1,2,262139,HLT_PFJet60_v4/1,ONE,L1_SingleJet36/262139
272612,1,0,0,HLT_PFJet60_v4/1,ONE,L1_SingleJet35/0
272617,1,0,0,HLT_PFJet60_v4/1,ONE,L1_SingleJet35/0
272674,1,0,0,HLT_PFJet60_v4/1,ONE,L1_SingleJet35/0
272674,21,11,2400,HLT_PFJet60_v4/12,ONE,L1_SingleJet35/200
272761,1,11,2400,HLT_PFJet60_v4/12,ONE,L1_SingleJet35/200
251161,1,10,0,HLT_PFJet60_v2/0,ONE,L1_SingleJet36/65537
251167,1,7,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
251252,1,7,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
251493,1,10,0,HLT_PFJet60_v2/0,ONE,L1_SingleJet36/65537
251493,6,6,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
251499,1,6,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
251521,1,6,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
251548,1,10,0,HLT_PFJet60_v2/0,ONE,L1_SingleJet36/65537
251548,28,6,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
254280,1,11,2000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/2000
254283,5,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254283,9,11,2000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/2000
254284,43,11,2000,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/2000
254437,1,1,320000,HLT_PFJet60_v2/4,ONE,L1_SingleJet36/80000
254437,4,12,262139,HLT_PFJet60_v2/1,ONE,L1_SingleJet36/262139
254437,54,9,6000,HLT_PFJet60_v2/3,ONE,L1_SingleJet36/2000
254437,65,8,10000,HLT_PFJet60_v2/2,ONE,L1_SingleJet36/5000
254450,1,8,10000,HLT_PFJet60_v2/2,ONE,L1_SingleJet36/5000
254458,1,8,10000,HLT_PFJet60_v2/2,ONE,L1_SingleJet36/5000
256730,1,5,3000,HLT_PFJet60_v3/1,ONE,L1_SingleJet36/3000
257487,1,1,1048556,HLT_PFJet60_v3/4,ONE,L1_SingleJet36/262139
