# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254790,3,7,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254833,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254833,126,6,1400,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1400
254833,317,7,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254879,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254879,33,7,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254905,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254905,39,6,1400,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1400
254906,1,6,1400,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1400
254913,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254914,6,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
256674,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257461,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257461,35,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257461,38,4,3000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/3000
257461,69,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257804,1,6,800,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/800
257804,6,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257816,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258159,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258312,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258313,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258319,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
259464,1,10,750,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/150
259453,1,10,150,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/150
259456,1,10,150,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/150
259457,1,10,750,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/150
259458,1,10,750,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/150
260627,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
260627,4,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260627,108,3,20000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/4000
260627,128,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260627,213,3,20000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/4000
260627,575,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
253946,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253952,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254229,6,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254380,8,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254380,9,9,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254415,1,1,10000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/10000
254416,1,12,262139,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/262139
254416,40,8,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
254608,1,7,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
254608,515,8,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
254608,656,9,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
257612,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257613,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
260478,1,2,6000,HLT_PFJet80_v4/1,ONE,L1_SingleJet52/6000
272612,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272617,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272674,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272674,20,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272761,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
251161,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251167,1,7,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251252,1,7,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251493,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251493,6,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251499,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251521,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251548,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251548,28,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
254280,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254283,5,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254283,9,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254284,43,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254437,1,1,20000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/10000
254437,4,12,262139,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/262139
254437,54,9,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254437,65,8,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
254450,1,8,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
254458,1,8,2000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/2000
256730,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257487,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257487,13,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257821,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257968,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
257968,7,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
257968,11,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
257968,12,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258129,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258129,17,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258152,1,0,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258155,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258155,14,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258156,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258210,1,1,10000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/10000
258213,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258213,12,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258287,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258434,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258432,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258440,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258442,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258443,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258444,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258446,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258448,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258656,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258656,70,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258690,1,4,3000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/3000
259721,1,6,4000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/800
272760,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272760,10,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272774,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272774,9,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272771,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272771,3,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272775,1,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272775,118,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272775,124,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272776,1,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272776,36,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272776,47,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272829,1,7,375,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/15
272828,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272828,49,7,375,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/15
272827,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272827,11,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
